step,time,old_pos,new_pos,step_pnl,portfolio_value
125,2023-05-09 06:59:00,[-0.5],[-0.5],-79.18607461380353,97943.43685450536
126,2023-05-09 07:59:00,[-0.5],[-0.5],62.5352393437987,98005.97209384915
127,2023-05-09 08:59:00,[-0.5],[-0.5],-74.21481325847242,97931.75728059068
128,2023-05-09 09:59:00,[-0.5],[-0.5],-50.76516379668053,97880.992116794
129,2023-05-09 10:59:00,[-0.5],[-0.5],49.69234862816015,97930.68446542216
130,2023-05-09 11:59:00,[-0.5],[-0.5],-62.35073140194253,97868.33373402023
131,2023-05-09 12:59:00,[-0.5],[-0.5],-108.96505757089022,97759.36867644933
132,2023-05-09 13:59:00,[-0.5],[-0.5],91.16364630290386,97850.53232275223
133,2023-05-09 14:59:00,[-0.5],[-0.5],138.72417332647336,97989.2564960787
134,2023-05-09 15:59:00,[-0.5],[-0.5],152.35012236905078,98141.60661844775
135,2023-05-09 16:59:00,[-0.5],[-0.5],-191.56061689772392,97950.04600155003
136,2023-05-09 17:59:00,[-0.5],[-0.5],-1.3463324086799489,97948.69966914135
137,2023-05-09 18:59:00,[-0.5],[-0.5],-12.08247280589948,97936.61719633546
138,2023-05-09 19:59:00,[-0.5],[-0.5],-54.068903962971426,97882.54829237249
139,2023-05-09 20:59:00,[-0.5],[-0.5],2.003816945636869,97884.55210931813
140,2023-05-09 21:59:00,[-0.5],[-0.5],-61.07973854054703,97823.47237077758
141,2023-05-09 22:59:00,[-0.5],[-0.5],61.268874692769636,97884.74124547036
142,2023-05-09 23:59:00,[-0.5],[-0.5],-46.503194532163086,97838.23805093819
143,2023-05-10 00:59:00,[-0.5],[-0.5],-67.65857358834288,97770.57947734985
144,2023-05-10 01:59:00,[-0.5],[-0.5],-13.258672749554243,97757.3208046003
145,2023-05-10 02:59:00,[-0.5],[-0.5],-56.74639774922168,97700.57440685108
146,2023-05-10 03:59:00,[-0.5],[-0.5],-47.96362719835152,97652.61077965274
147,2023-05-10 04:59:00,[-0.5],[-0.5],15.893231850627544,97668.50401150336
148,2023-05-10 05:59:00,[-0.5],[-0.5],-8.052839969122802,97660.45117153424
149,2023-05-10 06:59:00,[-0.5],[-0.5],-7.160139890945549,97653.2910316433
150,2023-05-10 07:59:00,[-0.5],[-0.5],62.312770300622056,97715.60380194391
151,2023-05-10 08:59:00,[-0.5],[-0.5],-58.82828783666214,97656.77551410726
